iter	Passed	Remaining
766	2278	692
767	2280	688
768	2281	685
769	2282	681
770	2284	678
771	2285	675
772	2292	673
773	2294	669
774	2295	666
775	2297	663
776	2298	659
777	2300	656
778	2301	652
779	2306	650
780	2307	647
781	2308	643
782	2310	640
783	2312	637
784	2313	633
785	2315	630
786	2318	627
787	2320	624
788	2322	621
789	2323	617
790	2325	614
791	2327	611
792	2329	608
793	2330	604
794	2332	601
795	2336	598
796	2337	595
797	2339	592
798	2340	588
799	2341	585
800	2343	582
801	2344	578
802	2345	575
803	2347	572
804	2349	569
805	2350	565
806	2351	562
807	2353	559
808	2354	555
809	2356	552
810	2357	549
811	2359	546
812	2363	543
813	2364	540
814	2366	537
815	2367	533
816	2368	530
817	2370	527
818	2371	524
819	2372	520
820	2377	518
821	2379	515
822	2380	511
823	2381	508
824	2383	505
825	2384	502
826	2386	499
827	2387	495
828	2388	492
829	2393	490
830	2395	487
831	2397	484
832	2398	480
833	2400	477
834	2401	474
835	2403	471
836	2405	468
837	2406	465
838	2408	462
839	2409	458
840	2410	455
841	2412	452
842	2413	449
843	2415	446
844	2416	443
845	2418	440
846	2423	437
847	2424	434
848	2425	431
849	2427	428
850	2428	425
851	2430	422
852	2431	419
853	2432	415
854	2437	413
855	2439	410
856	2441	407
857	2443	404
858	2444	401
859	2445	398
860	2447	395
861	2448	392
862	2450	389
863	2452	386
864	2454	383
865	2455	379
866	2456	376
867	2458	373
868	2460	370
869	2461	367
870	2466	365
871	2468	362
872	2469	359
873	2471	356
874	2473	353
875	2478	350
876	2480	347
877	2481	344
878	2483	341
879	2484	338
880	2486	335
881	2488	332
882	2492	330
883	2494	327
884	2495	324
885	2496	321
886	2498	318
887	2499	315
888	2500	312
889	2502	309
890	2504	306
891	2509	303
892	2510	300
893	2512	297
894	2513	294
895	2515	291
896	2516	289
897	2518	286
898	2522	283
899	2524	280
900	2525	277
901	2527	274
902	2528	271
903	2530	268
904	2531	265
905	2533	262
906	2537	260
907	2539	257
908	2540	254
909	2542	251
910	2543	248
911	2545	245
912	2547	242
913	2548	239
914	2553	237
915	2555	234
916	2556	231
917	2558	228
918	2561	225
919	2563	222
920	2569	220
921	2571	217
922	2573	214
923	2574	211
924	2576	208
925	2578	206
926	2580	203
927	2583	200
928	2585	197
929	2587	194
930	2589	191
931	2591	189
932	2593	186
933	2595	183
934	2598	180
935	2600	177
936	2602	174
937	2604	172
938	2606	169
939	2608	166
940	2609	163
941	2611	160
942	2614	158
943	2615	155
944	2617	152
945	2619	149
946	2621	146
947	2624	143
948	2626	141
949	2629	138
950	2631	135
951	2632	132
952	2634	129
953	2636	127
954	2638	124
955	2640	121
956	2642	118
957	2644	115
958	2648	113
959	2650	110
960	2652	107
961	2653	104
962	2655	102
963	2657	99
964	2662	96
965	2663	93
966	2665	90
967	2666	88
968	2667	85
969	2669	82
970	2670	79
971	2672	76
972	2678	74
973	2679	71
974	2681	68
975	2683	65
976	2684	63
977	2686	60
978	2687	57
979	2694	54
980	2695	52
981	2696	49
982	2698	46
983	2700	43
984	2701	41
985	2703	38
986	2708	35
987	2710	32
988	2711	30
989	2713	27
990	2715	24
991	2716	21
992	2718	19
993	2721	16
994	2723	13
995	2724	10
996	2726	8
997	2727	5
998	2729	2
999	2730	0
